3676623,1553828539,Leticia,"{'Lat': -4.21528, 'Lon': -69.940559}","{'temp': 75.2, 'temp_min': 75.2, 'temp_max': 75.2, 'pressure': 1013, 'humidity': 100}","{'speed': 1.11, 'deg': 167.001}",,,{'today': 40},"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]"
3833883,1553824988,Trelew,"{'Lat': -43.248951, 'Lon': -65.305054}","{'temp': 52.32, 'temp_min': 52.32, 'temp_max': 52.32, 'pressure': 1011.62, 'sea_level': 1011.62, 'grnd_level': 1000.64, 'humidity': 56}","{'speed': 1.16, 'deg': 169.501}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3832899,1553824987,Viedma,"{'Lat': -40.81345, 'Lon': -62.996681}","{'temp': 72.48, 'temp_min': 72.48, 'temp_max': 72.48, 'pressure': 1015.74, 'sea_level': 1015.74, 'grnd_level': 1012.16, 'humidity': 53}","{'speed': 7.76, 'deg': 342.001}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3835994,1553824987,Santa Rosa,"{'Lat': -36.616669, 'Lon': -64.283333}","{'temp': 63.84, 'temp_min': 63.84, 'temp_max': 63.84, 'pressure': 1019.78, 'sea_level': 1019.78, 'grnd_level': 1001.44, 'humidity': 70}","{'speed': 6.26, 'deg': 21.5006}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3865086,1553824988,Bahia Blanca,"{'Lat': -38.719601, 'Lon': -62.27243}","{'temp': 66.09, 'temp_min': 66.09, 'temp_max': 66.09, 'pressure': 1019.78, 'sea_level': 1019.78, 'grnd_level': 1018.16, 'humidity': 77}","{'speed': 8.06, 'deg': 341.501}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3842670,1553828542,Olavarria,"{'Lat': -36.892719, 'Lon': -60.32254}","{'temp': 61.86, 'temp_min': 61.86, 'temp_max': 61.86, 'pressure': 1022.94, 'sea_level': 1022.94, 'grnd_level': 1008.64, 'humidity': 75}","{'speed': 4.01, 'deg': 45.5006}",,,{'today': 48},"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]"
3430863,1553824987,Mar del Plata,"{'Lat': -38.002281, 'Lon': -57.557541}","{'temp': 64.85, 'temp_min': 64.4, 'temp_max': 64.99, 'pressure': 1025, 'humidity': 82}","{'speed': 3.6, 'deg': 20}",,,{'today': 90},"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]"
3435910,1553824988,Buenos Aires,"{'Lat': -34.613152, 'Lon': -58.377232}","{'temp': 66.58, 'temp_min': 62.6, 'temp_max': 68, 'pressure': 1024, 'humidity': 82}","{'speed': 5.7, 'deg': 130}",,,{'today': 0},"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]"
3837056,1553824987,San Luis,"{'Lat': -33.29501, 'Lon': -66.335632}","{'temp': 64.2, 'temp_min': 64.2, 'temp_max': 64.2, 'pressure': 1018.02, 'sea_level': 1018.02, 'grnd_level': 936.88, 'humidity': 69}","{'speed': 5.61, 'deg': 11.0006}",,,{'today': 24},"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]"
3861445,1553824988,Chilecito,"{'Lat': -29.161949, 'Lon': -67.497398}","{'temp': 51.06, 'temp_min': 51.06, 'temp_max': 51.06, 'pressure': 1018.66, 'sea_level': 1018.66, 'grnd_level': 875.52, 'humidity': 95}","{'speed': 0.76, 'deg': 304.501}",,,{'today': 12},"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]"
